自然景观	Natural Landscape
人文景观	Cultural Landscape
历史遗迹	Historical Relics
文化遗产	Cultural Heritage
世界遗产	World Heritage
国家公园	National Park
自然保护区	Nature Reserve
风景名胜区	Scenic Area
主题公园	Theme Park
博物馆	Museum
观光旅游	Sightseeing
休闲度假	Leisure Vacation
商务旅行	Business Travel
会展旅游	MICE Tourism
文化旅游	Cultural Tourism
生态旅游	Ecotourism
乡村旅游	Rural Tourism
红色旅游	Red Tourism
医疗旅游	Medical Tourism
教育旅游	Educational Tourism
酒店	Hotel
度假村	Resort
民宿	Homestay
青年旅舍	Youth Hostel
餐厅	Restaurant
购物中心	Shopping Center
游客中心	Tourist Center
旅游交通	Tourist Transportation
旅游景区	Tourist Attraction
旅游线路	Tourist Route
旅行社	Travel Agency
导游	Tour Guide
翻译	Interpreter
旅游保险	Travel Insurance
旅游咨询	Tourist Information
旅游投诉	Tourist Complaint
旅游救援	Tourist Rescue
旅游规划	Tourism Planning
旅游营销	Tourism Marketing
旅游电子商务	Tourism E-commerce
旅游政策	Tourism Policy
旅游法规	Tourism Regulation
旅游标准	Tourism Standard
旅游统计	Tourism Statistics
旅游开发	Tourism Development
旅游管理	Tourism Management
旅游经济	Tourism Economics
旅游社会学	Tourism Sociology
旅游心理学	Tourism Psychology
传统游客中心	Traditional Tourist Center
旅游标准智能	Tourism Standard Intelligent
风景名胜区自然	Scenic Area Natural
理论自然保护区	Theoretical Nature Reserve
超大型教育旅游	Extra-large Educational Tourism
旅游统计有机	Tourism Statistics Organic
中型酒店	Medium Hotel
数字化主题公园	Digital Theme Park
历史遗迹移动	Historical Relics Mobile
重要自然保护区	Important Nature Reserve
旅游管理高效	Tourism Management Efficient
创新生态旅游	Innovative Ecotourism
世界遗产核心	World Heritage Core
可持续餐厅	Sustainable Restaurant
迷你酒店	Mini Hotel
旅游规划理论	Tourism Planning Theoretical
系统性风景名胜区	Systematic Scenic Area
旅游救援高性能	Tourist Rescue High-performance
生态自然保护区	Ecological Nature Reserve
旅游咨询核心	Tourist Information Core
旅游咨询有机	Tourist Information Organic
旅游心理学小型	Tourism Psychology Small
旅游救援专业	Tourist Rescue Professional
青年旅舍专业	Youth Hostel Professional
历史遗迹便携	Historical Relics Portable
